cubic_start,cubic_end,crc32_start,crc32_end,edn_start,edn_end,huffbench_start,huffbench_end,minver_start,minver_end,st_start,st_end,ud_start,ud_end,matmult_start,matmult_end,mont64_start,mont64_end,nbody_start,nbody_end,nettle_aes_start,nettle_aes_end,nettle_sha256_start,nettle_sha256_end,primecount_start,primecount_end,sg_start,sg_end,tarfind_start,tarfind_end
37.70600733, 39.498152486,39.551128048, 43.325304621,43.373888271, 51.676760148,51.724280312, 55.745040238,55.791859726, 57.687074564,57.734713911, 58.108146328,58.153845828, 63.961035701,64.8371488, 68.884969991,68.931368360, 72.567588258,72.614335213, 72.869574941,72.916433369, 77.65821464,77.113777423, 81.454386526,81.501640722, 87.190613884,87.239260087, 94.543156462,94.591170174, 96.108940501
1294.644311473, 1296.993478078,1297.43033460, 1300.812636774,1300.860538921, 1308.263561170,1308.310598370, 1313.638214040,1313.696301009, 1315.595434146,1315.642957883, 1316.16508114,1316.64188053, 1321.857767084,1321.904523899, 1326.764835720,1326.811379113, 1330.449929982,1330.495830571, 1330.746236134,1330.791811794, 1334.923142004,1334.971469539, 1339.277893529,1339.323828391, 1345.15573652,1345.63899240, 1352.369084934,1352.417426718, 1353.899512344
2562.694275432, 2565.47320755,2565.95188269, 2568.863498009,2568.911685100, 2576.313937641,2576.362231462, 2580.249324673,2580.297623314, 2582.200250920,2582.247920741, 2582.622157242,2582.669202943, 2588.442772381,2588.490459562, 2593.290768565,2593.337998341, 2596.970770363,2597.17972503, 2597.273017929,2597.319866492, 2601.441422769,2601.490090978, 2605.807129586,2605.854170943, 2611.540379072,2611.587842300, 2618.927928858,2618.976266970, 2620.452435351
3821.940645853, 3824.315725525,3824.364949377, 3828.135320419,3828.183377356, 3835.594732591,3835.641016208, 3839.539929758,3839.589125489, 3841.486953111,3841.534354257, 3841.907239049,3841.956509400, 3847.729062795,3847.775929729, 3852.630084088,3852.677403885, 3856.309954887,3856.356879241, 3856.617400942,3856.664588409, 3860.802463121,3860.850821096, 3865.239574564,3865.286327345, 3870.965688366,3871.14145175, 3878.336264904,3878.383684752, 3879.859581956
5073.941307181, 5076.324236871,5076.373047190, 5080.142386868,5080.190379486, 5087.612687527,5087.660387033, 5091.533181778,5091.581850066, 5093.486880779,5093.534220559, 5093.908931453,5093.956473440, 5100.149303918,5100.196558098, 5105.78978987,5105.125829701, 5108.774949036,5108.822800336, 5109.73446170,5109.120530447, 5113.219403288,5113.267040121, 5117.575537916,5117.623214834, 5123.482448234,5123.529792572, 5130.832455377,5130.881076521, 5132.371608947
6325.631267512, 6328.29404764,6328.78855350, 6335.896732314,6335.946111889, 6343.354350870,6343.402166463, 6347.279589755,6347.327655779, 6349.237674505,6349.285343989, 6349.729914230,6349.775958343, 6355.543310776,6355.599884240, 6360.453402794,6360.500289436, 6364.467801102,6364.514602750, 6364.781514337,6364.828863133, 6368.927568552,6368.987839306, 6373.313913760,6373.361513287, 6379.53588305,6379.101730127, 6386.451986831,6386.499264830, 6387.979581526
7581.459811382, 7583.802530129,7583.852423300, 7587.617962184,7587.666467935, 7596.683015802,7596.731653841, 7600.627033773,7600.675785440, 7607.652582187,7607.700361331, 7608.74503889,7608.120505318, 7613.902255964,7613.951028716, 7618.799981144,7618.846734447, 7622.466188783,7622.515068905, 7622.771257761,7622.819215889, 7626.933197046,7626.982130805, 7631.298303021,7631.346183112, 7637.30613776,7637.94850946, 7644.375738672,7644.424487878, 7645.922655211
8838.706233581, 8841.76217595,8841.124888020, 8844.896794256,8844.945250249, 8852.401137204,8852.449508512, 8856.345830126,8856.393824376, 8858.280942073,8858.339872817, 8858.712855919,8858.758954468, 8864.543458350,8864.587979359, 8869.447634525,8869.504004106, 8873.124516850,8873.171880145, 8873.430535784,8873.479003690, 8877.602067863,8877.650476987, 8881.964237915,8882.11711748, 8887.693279383,8887.741470262, 8895.40600826,8895.90212216, 8896.559806000
10089.698115120, 10092.57768435,10092.106365727, 10095.872267929,10095.919864640, 10103.737542867,10103.784903083, 10107.676596200,10107.724731937, 10109.619626555,10109.675750048, 10110.50070286,10110.97350396, 10115.963264259,10116.11026730, 10120.861469841,10120.908952094, 10124.534772522,10124.581760981, 10124.836528408,10124.884575626, 10129.27630707,10129.77259801, 10133.448551361,10133.496644759, 10139.182020386,10139.229618617, 10146.547827191,10146.596828116, 10148.78164572
11354.626108660, 11356.985028159,11357.34692928, 11360.806239304,11360.853971326, 11368.260393098,11368.307712582, 11372.189080683,11372.237034064, 11374.141240956,11374.188361420, 11374.561748250,11374.607563319, 11380.418536630,11380.466385333, 11385.309216341,11385.364559722, 11388.985949502,11389.31963033, 11389.290357108,11389.338313666, 11393.479083306,11393.526989237, 11397.882074469,11397.931171795, 11403.618044826,11403.664990416, 11411.30501966,11411.79051856, 11412.546342574
