cubic_start,cubic_end,crc32_start,crc32_end,edn_start,edn_end,huffbench_start,huffbench_end,minver_start,minver_end,st_start,st_end,ud_start,ud_end,matmult_start,matmult_end,mont64_start,mont64_end,nbody_start,nbody_end,nettle_aes_start,nettle_aes_end,nettle_sha256_start,nettle_sha256_end,primecount_start,primecount_end,sg_start,sg_end,tarfind_start,tarfind_end
96.169581870, 98.635869820,98.685241905, 102.483810290,102.531429520, 110.72543629,110.120523067, 113.938214593,114.10748363, 116.24806686,116.72220637, 116.453306809,116.499972668, 122.277731432,122.325407832, 127.197500342,127.255664660, 131.440387269,131.492425023, 131.770854220,131.817944990, 136.115151321,136.163499441, 140.977494307,141.24532214, 146.750671395,146.799024709, 160.85688808,160.144852366, 161.659736405
1353.951275861, 1356.555227266,1356.616323111, 1360.414125905,1360.462240374, 1368.96674360,1368.145375414, 1372.826441090,1372.875571907, 1374.879525956,1374.927199557, 1375.308973286,1375.355697031, 1381.193846255,1381.242641522, 1401.29064514,1401.76655048, 1405.11586234,1405.59910892, 1405.337919430,1405.386375641, 1409.653488751,1409.701877743, 1414.508221195,1414.555816086, 1420.241392132,1420.288910023, 1433.620309195,1433.668768093, 1435.184961246
2620.505053281, 2622.982215728,2623.30720362, 2635.54180823,2635.102866402, 2642.652622971,2642.702047227, 2646.729644393,2646.776953562, 2648.789725120,2648.836772135, 2649.218078263,2649.265226535, 2655.57417021,2655.104736023, 2659.968389738,2660.15644795, 2664.66178539,2664.112037507, 2664.392404474,2664.439202621, 2668.725461736,2668.773343638, 2673.593939053,2673.640556901, 2679.345712912,2679.392002009, 2692.921360471,2692.969694910, 2694.454040514
3879.912493861, 3882.414160850,3882.462724034, 3886.256196077,3886.304743991, 3893.845017615,3893.893679606, 3897.710930623,3897.759305634, 3899.759172675,3899.804523023, 3900.194529616,3900.240690664, 3906.22069774,3906.71184953, 3910.895235249,3910.942815000, 3914.894637217,3914.942708201, 3915.223161348,3915.271737698, 3919.559406311,3919.615426704, 3924.412263357,3924.460574154, 3930.144527223,3930.191763378, 3943.470541007,3943.518702671, 3944.989413454
5132.424712627, 5134.899372021,5134.948880463, 5138.744781357,5138.793541968, 5146.362279452,5146.410087337, 5150.230823585,5150.280333945, 5152.286828903,5152.333966622, 5152.715480656,5152.761238022, 5158.661389227,5158.710120314, 5163.568748924,5163.615213143, 5167.572042386,5167.618910493, 5167.895591600,5167.943172897, 5172.295482123,5172.344499206, 5177.179635421,5177.226211032, 5182.919357340,5182.967712729, 5196.366312678,5196.414897297, 5197.892635274
6388.31920048, 6390.496451058,6390.544875390, 6394.347238297,6394.396234961, 6401.948797577,6401.997693466, 6405.821129279,6405.869643960, 6408.36232618,6408.83554520, 6408.463581050,6408.509223422, 6414.315260426,6414.363909069, 6419.241709346,6419.288762894, 6423.244628681,6423.291997538, 6423.572546854,6423.619814188, 6427.910135479,6427.957527404, 6432.774062254,6432.820352963, 6438.553226198,6438.601185061, 6451.868494834,6451.917361644, 6453.447634784
7645.976444911, 7648.670615151,7648.718024444, 7652.496210334,7652.543766873, 7660.105530698,7660.154408288, 7664.44474337,7664.92559748, 7666.107312145,7666.154776883, 7666.535045370,7666.580436878, 7672.344733030,7672.392935694, 7677.247490197,7677.294731321, 7681.241061726,7681.288876882, 7681.568955674,7681.617423124, 7685.879851434,7685.928623627, 7690.761614149,7690.809425070, 7696.498909772,7696.547661780, 7709.718666851,7709.767071928, 7711.267435400
8896.611629030, 8899.87164889,8899.135916656, 8902.933266347,8902.981843934, 8910.788949070,8910.836515114, 8914.709030872,8914.756531382, 8916.746421600,8916.793268297, 8917.173788017,8917.220392388, 8923.9189195,8923.59183347, 8927.910768154,8927.958667154, 8931.892284041,8931.939655631, 8932.213740006,8932.261409145, 8936.545567377,8936.592428410, 8941.399233525,8941.445779321, 8947.129891061,8947.177040998, 8960.422461361,8960.470849794, 8961.979330358
10148.130849708, 10150.631522065,10150.680659832, 10154.475387784,10154.522367921, 10162.70898355,10162.119918200, 10165.937119895,10165.985754503, 10168.157280441,10168.205358685, 10168.586468356,10168.633344371, 10174.476271033,10174.524315691, 10179.363361849,10179.410369900, 10183.563430912,10183.610379385, 10183.890780318,10183.937848701, 10188.236358121,10188.284835424, 10193.101789532,10193.148820992, 10198.834361377,10198.883895052, 10224.101969614,10224.150511302, 10225.625998173
11412.600474781, 11415.112268201,11415.161375899, 11418.956859253,11419.4572774, 11426.569039217,11426.616886380, 11430.462748765,11430.511693318, 11432.514485375,11432.582085928, 11432.963289481,11433.10494486, 11438.797025069,11438.845451362, 11443.709329706,11443.755426912, 11447.691728110,11447.739439392, 11448.16123269,11448.64677446, 11452.337504396,11452.385451916, 11457.214704877,11457.262755353, 11462.952477644,11463.8288694, 11476.251977446,11476.300505307, 11477.816797522
12666.141109853, 12668.646296761,12668.695817588, 12672.508138860,12672.556495540, 12680.325480037,12680.373426989, 12684.189107948,12684.235770686, 12686.242850662,12686.291692813, 12686.672487920,12686.718319188, 12692.503871991,12692.552456043, 12697.410157689,12697.456317711, 12701.402900778,12701.450970452, 12701.727814962,12701.775415956, 12706.59429882,12706.108296762, 12710.918313053,12710.965027409, 12717.104016252,12717.151877199, 12730.658970501,12730.709244703, 12732.188810453
13919.55864713, 13921.573943863,13921.621595238, 13925.415302380,13925.463530504, 13933.10652137,13933.59112775, 13937.16391226,13937.64328610, 13939.79363311,13939.126682604, 13939.506886466,13939.553261704, 13945.296505481,13945.343990384, 13950.212409363,13950.261051647, 13954.211751029,13954.259236637, 13954.539728767,13954.587198012, 13958.877938767,13958.926116789, 13963.737155564,13963.785525572, 13969.469741376,13969.517627009, 13982.699451329,13982.750515263, 13987.278759129
15173.66036425, 15175.513140414,15175.562155997, 15179.362552814,15179.410405145, 15187.211325664,15187.260715452, 15195.38899752,15195.87963562, 15197.117051834,15197.164870054, 15197.545652591,15197.591814034, 15203.386882795,15203.435152079, 15208.304712976,15208.351946135, 15212.295104169,15212.341734132, 15212.678682863,15212.726517830, 15217.9753217,15217.57650760, 15221.886936173,15221.933609196, 15227.616216253,15227.664565482, 15240.944534920,15240.993522170, 15242.459285233
16432.661088782, 16435.106457537,16435.155431301, 16438.950229702,16438.998222080, 16446.536502443,16446.584786429, 16450.537319808,16450.585401864, 16452.603579407,16452.651783227, 16453.32376597,16453.79970661, 16458.845341020,16458.894243165, 16463.725448716,16463.771965827, 16467.736673026,16467.783614242, 16468.59220796,16468.107763075, 16472.430009128,16472.477927755, 16477.298061979,16477.345633846, 16483.29929332,16483.79912743, 16511.355654807,16511.404937097, 16512.873440722
17699.343911578, 17701.812815932,17701.860647531, 17705.657628299,17705.704744851, 17713.253258482,17713.300914629, 17717.117576648,17717.164345235, 17719.205701030,17719.252668360, 17719.632802791,17719.679282381, 17725.448955885,17725.496949689, 17730.360323042,17730.407692318, 17734.340287294,17734.386620548, 17734.664546869,17734.711619647, 17739.20509834,17739.70471051, 17743.866370796,17743.914973502, 17749.600805841,17749.659120769, 17762.967486323,17763.16624430, 17764.493832595
18953.717361572, 18956.313565448,18956.363348152, 18960.156123960,18960.204595411, 18967.745107880,18967.793572706, 18971.608294989,18971.658093729, 18973.739972709,18973.787625523, 18974.169374482,18974.216994377, 18979.997188323,18980.45408441, 18984.914127160,18984.961511763, 18989.157689671,18989.204485870, 18989.479245281,18989.527735405, 18993.825550302,18993.873646250, 18999.680938700,18999.728025694, 19005.413199002,19005.461235317, 19018.727587922,19018.777482633, 19020.306186393
20208.315628327, 20210.797874224,20210.847205358, 20214.635237485,20214.683201405, 20222.245651187,20222.293556259, 20226.115252274,20226.164559903, 20228.176727512,20228.223097324, 20228.603091272,20228.650083306, 20234.420168739,20234.468905511, 20239.326836241,20239.373450147, 20243.437501587,20243.484790102, 20243.754877236,20243.801618080, 20248.108173089,20248.157929682, 20252.976789916,20253.24286239, 20258.714218948,20258.761142856, 20272.166529795,20272.216385053, 20273.677553718
21500.766459990, 21503.251540569,21503.300768600, 21507.99582671,21507.147300499, 21514.702790315,21514.750549900, 21518.611974683,21518.669534481, 21520.672605325,21520.720555949, 21521.101708820,21521.147873622, 21526.951154811,21526.999152627, 21532.194010007,21532.241676865, 21536.757252065,21536.803908934, 21537.76472024,21537.124539403, 21541.419195724,21541.467233476, 21546.283208923,21546.331149082, 21552.14760792,21552.63971556, 21565.256417092,21565.305271945, 21566.810168312
22755.101256213, 22757.589721212,22757.637401197, 22761.439934923,22761.488437890, 22769.41807288,22769.90365485, 22772.903282533,22772.951618187, 22774.962975173,22775.10109177, 22775.392499344,22775.438842865, 22781.229548373,22781.276962707, 22786.146921782,22786.193901822, 22790.159402762,22790.206872577, 22790.480157405,22790.527572000, 22794.817668120,22794.865431905, 22799.710801224,22799.759008904, 22805.453100073,22805.500389834, 22818.648667547,22818.697510655, 22820.168462307
24020.49269209, 24022.480552774,24022.528540203, 24026.333607390,24026.381208377, 24033.935871309,24033.984501610, 24037.809773378,24037.858010237, 24039.868162571,24039.915766855, 24040.298073583,24040.343542714, 24046.139179643,24046.188901177, 24051.443204729,24051.499866781, 24055.450254437,24055.497774434, 24055.773653280,24055.820413544, 24060.136467364,24060.183631453, 24065.10637037,24065.57609427, 24070.747730419,24070.794818870, 24084.58309015,24084.106867898, 24085.623146156
