cubic_start,cubic_end,crc32_start,crc32_end,edn_start,edn_end,huffbench_start,huffbench_end,minver_start,minver_end,st_start,st_end,ud_start,ud_end,matmult_start,matmult_end,mont64_start,mont64_end,nbody_start,nbody_end,nettle_aes_start,nettle_aes_end,nettle_sha256_start,nettle_sha256_end,primecount_start,primecount_end,sg_start,sg_end,tarfind_start,tarfind_end
161.731103776, 165.580450518,165.642101873, 320.123846242,320.173241977, 373.48722001,373.99017807, 407.931692094,407.981669900, 420.990481497,421.41094269, 428.511435554,428.558939388, 466.815915836,466.865693290, 523.127470313,523.175634247, 557.66054458,557.127687250, 558.360447477,558.409541138, 568.139072745,568.188696963, 578.311516623,578.360737466, 619.499372240,619.547974942, 696.153273717,696.206755564, 729.777793050
1435.238688222, 1438.149279082,1438.197988739, 1589.204615021,1589.252804017, 1642.151312018,1642.200295985, 1676.986993214,1677.33288738, 1690.22842311,1690.72805785, 1697.528998817,1697.576567999, 1735.881002988,1735.930623311, 1792.88460109,1792.136424040, 1825.983746748,1826.32496025, 1827.247613694,1827.296403438, 1837.19911599,1837.69198760, 1847.134408694,1847.182807714, 1888.299063652,1888.345970356, 1964.965235228,1965.19512968, 1998.621131538
2694.506800012, 2697.413043898,2697.462318902, 2848.409474926,2848.457341854, 2901.334543556,2901.384584171, 2936.225577157,2936.276508841, 2949.266008897,2949.314986914, 2956.813086014,2956.857658920, 2995.536695687,2995.584698738, 3051.807819876,3051.852980871, 3085.681218497,3085.729472225, 3086.961218266,3087.7856531, 3096.674425053,3096.723304457, 3106.789020840,3106.837089062, 3147.859400044,3147.906134339, 3224.338132099,3224.391164215, 3257.895685090
3945.43001196, 3947.964389912,3948.14367848, 4099.91211890,4099.138025512, 4152.4203332,4152.53155417, 4186.885184212,4186.935348956, 4199.933200674,4199.981541437, 4207.448756936,4207.497956974, 4245.829022626,4245.877659457, 4302.94963890,4302.142931271, 4336.48972627,4336.97185212, 4337.335985759,4337.383360060, 4347.96352725,4347.145245996, 4357.204776259,4357.253100310, 4398.319639244,4398.367945958, 4474.859552483,4474.913416264, 4508.471841695
5197.945364330, 5200.836600993,5200.885676164, 5351.973057897,5352.20408699, 5404.615094674,5404.664451091, 5439.447459183,5439.496629906, 5452.508941024,5452.555412416, 5459.998027584,5460.45961759, 5498.346154570,5498.392468507, 5554.631743555,5554.679620867, 5588.563449780,5588.611731513, 5589.820629921,5589.868237837, 5599.579650778,5599.625462807, 5609.871906750,5609.920449285, 5650.978894114,5651.27981611, 5727.487244121,5727.541218506, 5761.110893424
6453.501360738, 6456.455029878,6456.504983268, 6607.447100168,6607.495468585, 6660.323996200,6660.373240923, 6695.204748215,6695.254412090, 6708.252566849,6708.299001727, 6715.757456249,6715.805974170, 6754.132896700,6754.181472181, 6810.445644955,6810.493508580, 6844.407812445,6844.455879013, 6845.685495500,6845.733932613, 6855.471800969,6855.520620947, 6865.608280062,6865.656954712, 6906.771166640,6906.818938543, 6983.352419697,6983.405343210, 7016.943043782
7711.335492513, 7714.264330615,7714.313034852, 7865.345067331,7865.401359796, 7918.293200947,7918.342374811, 7953.151861983,7953.203549036, 7966.184417703,7966.233106781, 7973.696317620,7973.743792739, 8011.995737185,8012.45095467, 8068.273716164,8068.321464199, 8102.170154706,8102.216912270, 8103.444962781,8103.492665780, 8113.154091406,8113.203218444, 8123.269098384,8123.318255956, 8164.395997772,8164.445635684, 8240.987619682,8241.41422468, 8274.592594108
8962.40684184, 8965.34406080,8965.85360865, 9116.58411715,9116.105881796, 9168.940533780,9168.990023628, 9203.798878594,9203.849305275, 9216.833338292,9216.881562451, 9224.329237475,9224.376690583, 9262.658363310,9262.707148141, 9318.967636743,9319.16524144, 9352.896903716,9352.944623906, 9354.151835859,9354.196955600, 9363.925350156,9363.974017550, 9374.50084454,9374.97786630, 9415.197286212,9415.246609494, 9491.771333820,9491.824378125, 9525.347771167
10225.678543657, 10228.581484317,10228.630853432, 10379.629419173,10379.677456000, 10432.508335573,10432.556604040, 10467.340457886,10467.389935406, 10480.392622789,10480.440443014, 10487.903164678,10487.950696087, 10526.203385039,10526.252533414, 10582.533204060,10582.579085906, 10616.452571220,10616.501936506, 10617.719766657,10617.768014445, 10627.566318447,10627.616561394, 10637.690529057,10637.740746393, 10678.791334512,10678.840853233, 10755.334395565,10755.386971949, 10788.919875554
11477.870804735, 11480.769206506,11480.818757477, 11631.90418597,11631.138837295, 11684.3329215,11684.54076096, 11718.853716374,11718.900800452, 11731.897633538,11731.942815332, 11739.385108536,11739.433674747, 11777.687116826,11777.735489677, 11833.948401016,11833.995580247, 11867.900844926,11867.949576880, 11869.148467323,11869.197486125, 11879.129201528,11879.177621454, 11889.276608416,11889.324344648, 11930.420361138,11930.468519631, 12006.832294957,12006.879058314, 12040.424461748
12732.243204816, 12735.205994000,12735.256917845, 12886.292836362,12886.337890703, 12940.521345185,12940.568708443, 12975.372488961,12975.422533597, 12988.436854765,12988.486081158, 12995.945072644,12995.993343269, 13034.251159334,13034.299259278, 13090.489129676,13090.537696114, 13124.431673052,13124.479732993, 13125.687210732,13125.735814454, 13135.432886922,13135.483062365, 13145.541272623,13145.589283830, 13186.667181278,13186.716315327, 13263.182840730,13263.235253788, 13296.787401045
13987.333969930, 13990.248000886,13990.299572686, 14141.277745186,14141.326882512, 14194.193262878,14194.241301460, 14229.79613197,14229.129560721, 14242.135277864,14242.184443224, 14249.619358530,14249.667763713, 14288.77076632,14288.124498076, 14344.399884079,14344.448287183, 14378.292402263,14378.341051637, 14379.580902353,14379.628481165, 14389.331869279,14389.377121743, 14399.485327561,14399.533279370, 14440.609266750,14440.657951032, 14517.104384302,14517.149913436, 14550.712543779
