cubic_start,cubic_end,crc32_start,crc32_end,edn_start,edn_end,huffbench_start,huffbench_end,minver_start,minver_end,st_start,st_end,ud_start,ud_end,matmult_start,matmult_end,mont64_start,mont64_end,nbody_start,nbody_end,nettle_aes_start,nettle_aes_end,nettle_sha256_start,nettle_sha256_end,primecount_start,primecount_end,sg_start,sg_end,tarfind_start,tarfind_end
171575.244630032, 171578.573144255,171578.623228004, 171706.104769898,171706.151785049, 171722.978007003,171723.23830063, 171733.472446685,171733.521983758, 171740.178153623,171740.237373550, 171746.333087363,171746.381098355, 171760.286531705,171760.335305517, 171772.853976028,171772.902583517, 171786.262053174,171786.310399152, 171787.201370455,171787.250402444, 171796.494462278,171796.544441716, 171806.919352306,171806.967638000, 171815.855115214,171815.903835156, 171871.620632291,171871.674019553, 171898.48470678
171898.101401325, 171901.505011420,171901.553276349, 172026.314456271,172026.362035636, 172043.302398065,172043.351259725, 172053.386461667,172053.436405044, 172060.99297135,172060.147266261, 172066.456833782,172066.504642601, 172080.460341709,172080.507455724, 172131.260923181,172131.309543677, 172144.558948436,172144.606421606, 172145.494953268,172145.542394119, 172154.638491780,172154.686592190, 172165.42717218,172165.88628717, 172173.963180552,172174.10566551, 172229.213280477,172229.265521058, 172255.621245256
172255.674269938, 172258.988917096,172259.38911331, 172383.942477071,172383.990511460, 172400.754477915,172400.802509754, 172410.706034781,172410.751058174, 172417.468342884,172417.517304613, 172423.627331194,172423.674865719, 172437.582039647,172437.634332256, 172466.489813689,172466.535269437, 172480.412998385,172480.461297552, 172481.351160608,172481.399347067, 172490.477065506,172490.525982979, 172500.950655959,172500.998103658, 172515.274593254,172515.322510673, 172570.551767101,172570.603674496, 172596.984007482
172597.37120869, 172600.322486317,172600.373090566, 172725.930960096,172725.979417115, 172742.770857206,172742.819419559, 172752.705059668,172752.755181061, 172759.456466812,172759.503460737, 172765.607740566,172765.655912376, 172779.607199228,172779.656412882, 172792.154661217,172792.202639576, 172805.572737839,172805.620905283, 172806.503380388,172806.567055609, 172815.677440626,172815.725274250, 172826.96005443,172826.142968951, 172834.994117454,172835.42599722, 172890.214011602,172890.265700478, 172916.670828305
172916.724453238, 172920.29974466,172920.79748947, 173045.7073909,173045.52445742, 173061.819781945,173061.872263086, 173071.812937463,173071.863288355, 173078.525026386,173078.572298338, 173084.683409880,173084.731409614, 173098.605224572,173098.653287845, 173111.188963314,173111.233612101, 173124.644309940,173124.693004277, 173125.580978444,173125.627829003, 173134.682635103,173134.731785184, 173145.81050921,173145.128934698, 173153.994796685,173154.44834377, 173209.185098434,173209.238731651, 173235.636981322
173235.689499596, 173238.925949631,173238.974356817, 173365.356362143,173365.403386144, 173382.142173983,173382.188461930, 173392.126575862,173392.175575310, 173398.870764677,173398.918403206, 173405.21100947,173405.70491893, 173419.70801725,173419.117370586, 173431.615511161,173431.662863707, 173445.661398381,173445.710086842, 173446.586861021,173446.633279293, 173455.936652431,173455.985391284, 173466.351805752,173466.401676829, 173475.280519736,173475.327791765, 173530.204509225,173530.255787410, 173556.652618769
173556.706422583, 173559.895523452,173559.945807868, 173684.816288706,173684.864457435, 173701.708934373,173701.759302473, 173711.716322255,173711.765766092, 173718.459296679,173718.503657439, 173724.606559534,173724.653439717, 173738.695745410,173738.740501032, 173751.239097771,173751.287388348, 173764.618195787,173764.667656057, 173765.565007259,173765.613963151, 173774.662186550,173774.709989563, 173785.75771603,173785.123512197, 173793.986575713,173794.34911695, 173849.190101529,173849.235262880, 173875.651177388
173875.704469635, 173878.974313084,173879.24407626, 174003.759910276,174003.807264839, 174020.546645306,174020.595222014, 174030.544610981,174030.593345484, 174037.247132660,174037.290868705, 174043.409041875,174043.455668605, 174057.365136566,174057.412482284, 174069.910222967,174069.958669388, 174083.209159039,174083.256599391, 174085.501383321,174085.548479914, 174094.609575757,174094.658000361, 174105.72498919,174105.120706944, 174114.110880563,174114.155507890, 174169.344402061,174169.397299751, 174195.746444922
174195.799151113, 174199.40518914,174199.90656130, 174323.952408825,174323.999544653, 174340.896312643,174340.945352173, 174350.859254945,174350.907883318, 174357.557116589,174357.605089927, 174363.720477539,174363.767464913, 174377.640957422,174377.688719298, 174390.193551314,174390.242427821, 174404.337097673,174404.384466300, 174405.275023440,174405.322293258, 174414.425151774,174414.472644753, 174424.943685257,174424.992776041, 174433.875540391,174433.925008743, 174489.153032264,174489.205940475, 174515.600563779
174515.654099913, 174518.859731257,174518.909643179, 174645.249066615,174645.295797163, 174662.118405180,174662.172721613, 174672.84973084,174672.132931081, 174678.830880395,174678.878826529, 174684.988944784,174685.37030868, 174698.934532019,174698.983462665, 174711.471762576,174711.519926262, 174724.747817497,174724.794066160, 174725.682166014,174725.728552111, 174735.256952599,174735.320636697, 174745.713328643,174745.761556425, 174754.769373489,174754.816419847, 174810.9883344,174810.58521399, 174836.430305172
