cubic_start,cubic_end,crc32_start,crc32_end,edn_start,edn_end,huffbench_start,huffbench_end,minver_start,minver_end,st_start,st_end,ud_start,ud_end,matmult_start,matmult_end,mont64_start,mont64_end,nbody_start,nbody_end,nettle_aes_start,nettle_aes_end,nettle_sha256_start,nettle_sha256_end,primecount_start,primecount_end,sg_start,sg_end,tarfind_start,tarfind_end
729.830707886, 733.67992963,733.117853425, 884.252580593,884.300387309, 937.171562868,937.222295518, 972.16827071,972.67987302, 985.84280020,985.133027635, 992.603825882,992.652527896, 1030.904613527,1030.953752147, 1087.136844390,1087.185183988, 1121.78660181,1121.143639691, 1122.387144529,1122.434756583, 1132.487928480,1132.537281358, 1143.388947387,1143.435819800, 1184.469283890,1184.519482351, 1260.981084377,1261.34080527, 1294.591975966
1998.674828528, 2001.969223973,2002.33591332, 2152.776316727,2152.823758952, 2205.397097043,2205.447276930, 2240.205475154,2240.256246140, 2253.286801408,2253.335665222, 2260.803378686,2260.851471940, 2299.137227064,2299.185172519, 2355.403253443,2355.452333465, 2389.347729711,2389.394055157, 2390.623606076,2390.671710269, 2400.594429319,2400.643517785, 2411.428344799,2411.478121046, 2452.514323353,2452.562452858, 2529.24295164,2529.78494004, 2562.640407059
3257.947708089, 3261.213250828,3261.262379922, 3411.969209117,3412.16532481, 3464.922682589,3464.972877335, 3499.826329624,3499.877049260, 3512.871929142,3512.920660740, 3520.394795671,3520.443928787, 3558.740427921,3558.787755290, 3615.107044100,3615.152413096, 3649.24485716,3649.73496614, 3650.298744151,3650.347520406, 3660.254210144,3660.300610343, 3671.63655523,3671.112756260, 3712.152509283,3712.200314663, 3788.290109917,3788.342821093, 3821.888007584
4508.525026306, 4511.763547696,4511.813090953, 4662.791498430,4662.839562252, 4715.731259646,4715.781063935, 4750.584386518,4750.633851665, 4763.819259779,4763.869712202, 4771.308604080,4771.356241000, 4810.467311182,4810.531284993, 4866.729251482,4866.776979363, 4900.623736432,4900.672292915, 4901.897203129,4901.945289542, 4911.883990057,4911.933324452, 4922.711567037,4922.760872046, 4963.794379986,4963.843362905, 5040.285221625,5040.337446058, 5073.887425328
5761.164693452, 5764.628490136,5764.676980736, 5915.508478617,5915.557610782, 5968.397947898,5968.445585848, 6003.265217415,6003.314480720, 6016.305251081,6016.353970596, 6023.795468378,6023.843283232, 6062.135260935,6062.183667225, 6118.435733319,6118.481403118, 6152.342457077,6152.390411554, 6153.616313922,6153.663179360, 6163.540725269,6163.589989497, 6174.377121533,6174.425480188, 6215.448440529,6215.497052187, 6291.963961330,6292.17117132, 6325.578474667
7016.994903603, 7020.239410887,7020.288694100, 7171.180479157,7171.228466173, 7224.116263974,7224.166006459, 7258.915112956,7258.965430875, 7271.979124570,7272.28352972, 7279.463937047,7279.512469167, 7317.776252301,7317.823303996, 7374.82884838,7374.130266898, 7407.987310508,7408.35340403, 7409.268877959,7409.315539949, 7419.253653554,7419.303065591, 7430.66259216,7430.114897939, 7471.192985622,7471.242058029, 7547.750479779,7547.803915047, 7581.407474744
8274.645281627, 8277.894504461,8277.944338185, 8428.820329326,8428.867472536, 8481.734798170,8481.781885595, 8516.583863269,8516.633546770, 8529.626183727,8529.674893655, 8537.135011378,8537.183265094, 8575.442741374,8575.490920431, 8631.449291398,8631.497270968, 8665.365066331,8665.412436549, 8666.623937222,8666.671517466, 8676.569084402,8676.618735395, 8687.367913243,8687.427919301, 8728.488850960,8728.537589511, 8805.74796998,8805.127581199, 8838.653507086
9525.401421507, 9528.639984571,9528.689832305, 9679.613111337,9679.665036999, 9732.502862312,9732.552569694, 9767.343386135,9767.393276832, 9780.388304585,9780.437490799, 9787.905183815,9787.953802940, 9826.231206592,9826.278856444, 9882.516275160,9882.564255370, 9916.436995447,9916.486584497, 9917.697828016,9917.742786396, 9927.678109209,9927.726934551, 9938.461793376,9938.510241520, 9979.535007467,9979.583831848, 10056.52548859,10056.98088153, 10089.634236600
10788.972793808, 10792.237095219,10792.286708655, 10943.230167814,10943.277123032, 10997.285257657,10997.330469628, 11032.136354140,11032.187638586, 11045.206405501,11045.255793799, 11052.722982109,11052.768658378, 11091.66662926,11091.114716312, 11147.353203658,11147.400452241, 11181.294868347,11181.340730830, 11182.567590208,11182.615383734, 11192.545017250,11192.593631903, 11203.359647283,11203.408910994, 11244.468350697,11244.515478963, 11320.967132947,11321.19823252, 11354.573559683
12040.478398675, 12043.702516324,12043.753328206, 12194.592010993,12194.639292473, 12247.463547755,12247.513641588, 12282.318994127,12282.365817587, 12295.364634335,12295.412577437, 12302.870769370,12302.920316675, 12341.232495229,12341.280544394, 12397.462584812,12397.511104945, 12431.375817928,12431.425891613, 12432.657930181,12432.706115837, 12442.683759839,12442.733261360, 12453.473112361,12453.520803563, 12495.201399186,12495.250606772, 12571.664632738,12571.718042649, 12605.259996504
13296.841377047, 13300.109241760,13300.155534496, 13451.82582881,13451.132475454, 13503.979171361,13504.29033307, 13538.819595544,13538.870001863, 13551.884327094,13551.932957674, 13559.390530978,13559.437453142, 13597.694334064,13597.742228908, 13653.957393148,13654.5642071, 13687.841439321,13687.889573715, 13689.103045582,13689.151792647, 13699.100614907,13699.150002142, 13709.904276708,13709.952506995, 13751.14979240,13751.63956466, 13827.513247805,13827.567092063, 13861.139254403
14550.765318992, 14554.39749287,14554.86038842, 14704.844825837,14704.894500034, 14757.645317370,14757.694217382, 14792.459716887,14792.506763071, 14805.527876666,14805.576762016, 14813.36258414,14813.84574255, 14851.371499367,14851.420254786, 14907.615056535,14907.667964398, 14941.367237930,14941.417258590, 14942.628933589,14942.676864580, 14952.646613387,14952.695607849, 14963.488506496,14963.537231304, 15004.606630796,15004.655553541, 15081.130202565,15081.199777577, 15114.751655657
15806.397986243, 15809.630422071,15809.679949878, 15960.496856782,15960.544683689, 16013.371396995,16013.421521174, 16048.239092916,16048.288336190, 16061.293219039,16061.341879765, 16068.803657739,16068.851265750, 16107.301142207,16107.348530608, 16163.571214315,16163.619919258, 16197.433152969,16197.481053834, 16198.697124869,16198.745533238, 16208.758913753,16208.808370330, 16223.222925579,16223.271903293, 16264.339100275,16264.387498672, 16340.796455039,16340.850137588, 16374.437502528
